,Genre Code,Release Year,Artist Gender,Artist Age,Signal Magnitude,Spectral Centroid,Spectral Flux,MFCC,Tempo,Pitch,Intensity
EXO_TENDER LOVE,3,2015,0,27,0.375581,2639.702993,1.53305032,4.570156493,117.4538352,22.2003,0.306143
EXO_내가 미쳐 (Going Crazy),3,2017,0,27,0.318397,2691.436352,1.352517898,2.748790644,151.9990809,24.2975,0.228699
EXO-CBX (첸백시)_Hey Mama!,3,2016,0,27,0.328836,3224.929303,1.429201042,3.512101996,117.4538352,30.5513,0.251485
f(x)_4 Walls,112,2015,1,28,0.292339,2734.159784,1.701496258,2.16748917,123.046875,15.9597,0.283572
f(x)_All Mine,52,2016,1,28,0.43032,2665.667296,1.304490109,4.826238069,129.1992188,26.1625,0.295601
Fall Out Boy_Centuries,20,2015,0,35,0.444342,2930.190465,1.188363202,6.884843775,89.10290948,37.4269,0.309462
Fall Out Boy_Immortals,145,2015,0,35,0.266315,2974.03568,1.478098678,4.865184057,107.6660156,40.2713,0.205548
Fall Out Boy_Novocaine,20,2015,0,35,0.608495,2613.743533,1.215999707,6.307278541,135.9991776,51.6518,0.304731
Fifth Harmony_The Life,13,2016,1,22,0.353972,2513.540537,1.443167158,3.861838404,103.359375,29.3005,0.219436
Fifth Harmony_Work From Home (Feat Ty Dolla $ign),13,2016,1,22,0.252842,2336.502755,1.623897741,1.214310817,103.359375,18.4122,0.252682
Fifth Harmony_Worth It (Feat Kid Ink),3,2015,1,22,0.269809,2851.21735,1.834641358,4.366338448,99.38401442,28.6475,0.290396
Fitz & The Tantrums_HandClap (영화 '슈퍼배드 3' 삽입곡),13,2016,2,42,0.366985,2591.740888,1.571946576,4.583492422,135.9991776,27.228,0.280224
Flo Rida_GDFR (Feat Sage The Gemini & Lookas),15,2015,0,39,0.230614,2732.839161,1.70363159,6.940668822,143.5546875,18.5355,0.361541
Flo Rida_Hello Friday (Feat Jason Derulo),15,2016,0,39,0.304246,3248.592285,1.658545997,4.902786875,99.38401442,27.8975,0.259021
Flo Rida_Here It Is (Feat Chris Brown),15,2015,0,39,0.304373,3127.786945,1.487515704,5.489923074,123.046875,20.9286,0.285268
"Flo Rida_I Don't Like It, I Love It (Feat Robin Thicke & Verdine White)",15,2015,0,39,0.25519,2544.652782,1.892754094,5.33957459,117.4538352,23.6691,0.277071
Flo Rida_My House,15,2015,0,39,0.365491,2479.91247,1.451799504,4.402138035,95.703125,19.5136,0.298104
Flo Rida_Once In A Lifetime,15,2015,0,39,0.349809,2756.964828,1.510722065,-1.251391412,123.046875,30.3488,0.217665
Flume_Never Be Like You (Feat Kai),52,2016,0,27,0.371625,2457.303605,1.404484719,-0.192119762,117.4538352,23.0013,0.25904
FTISLAND_사랑앓이 (With 김나영),116,2017,2,28,0.439608,2242.136897,1.113344539,-0.101240909,143.5546875,21.3252,0.240128
